"230","806, Fayette St. Bastrop, TX, 78602","No_Match"
"124","1700 Rutherford Lane, Austin, TX, 78754","Match","Exact","1700 RUTHERFORD LN, AUSTIN, TX, 78754","-97.680206637669,30.33422131784","641249428","L","48","453","043600","3008"
"245","987 N SH 95, Bastrop, TX, 78602","Tie"
"4","405 Martin Luther King Street, Georgetown, TX, 78626","Match","Exact","405 MARTIN LUTHER KING ST, GEORGETOWN, TX, 78626","-97.680913263791,30.639860538682","126416324","R","48","491","021402","2014"
"125","6500 Metropolis Drive, Austin, TX, 78744","Match","Exact","6500 METROPOLIS DR, AUSTIN, TX, 78744","-97.710306976849,30.202104818821","637875613","R","48","453","002448","1022"
"246","2 Saint Marks Place, LaGrange, TX, 78945","No_Match"
"5","1200 W. 17th St., Georgetown, TX, 78626","No_Match"
"126","6800 Burleson Road, Austin, TX, 78744","Match","Exact","6800 BURLESON RD, AUSTIN, TX, 78744","-97.710212162777,30.2020259204","637875606","L","48","453","002448","2003"
"247","1016, Broadway Marble Falls, TX, 78654","No_Match"
"6","200 Wilco Way, Georgetown, TX, 78626","No_Match"
"127","2910 E. 5th St., Austin, TX, 78702","Match","Exact","2910 E 5TH ST, AUSTIN, TX, 78702","-97.709935579651,30.256283920407","63948915","L","48","453","000902","2012"
"248","218 E. Jackson, Burnet, TX 78611, Burnet, TX, 78611","No_Match"
"7","2201 Old Airport Rd., Georgetown, TX, 78628","Match","Non_Exact","2201 OLD AIRPORT RD, GEORGETOWN, TX, 78626","-97.66894192358,30.662546810362","126475490","R","48","491","020113","1003"
"249","100 N IH 35, Ste 2000, Austin, TX, 78701","Match","Non_Exact","100 I- 35 SVC RD N, AUSTIN, TX, 78701","-97.736809646422,30.261297453285","63981004","L","48","453","001103","2024"
"8","2000 Railroad Avenue, Georgetown, TX, 78626","Match","Exact","2000 RAILROAD AVE, GEORGETOWN, TX, 78626","-97.684634871524,30.626922320429","126470823","L","48","491","021402","4020"
